leaid,locale,locale2
0405670,11,City
0405730,43,Rural
0405760,43,Rural
0405820,33,Town
0405850,42,Rural
0405880,41,Rural
0405930,11,City
0405980,32,Town
0406000,42,Rural
0406030,42,Rural
0406070,33,Town
0406120,43,Rural
0406150,43,Rural
0406210,11,City
0406250,21,Suburban
0406300,11,City
0406330,11,City
0406360,42,Rural
0406440,33,Town
0406460,11,City
0406510,43,Rural
0406580,33,Town
0406630,41,Rural
0406730,13,City
0406740,43,Rural
0406780,41,Rural
0406810,21,Suburban
0406850,43,Rural
0406870,43,Rural
0406900,42,Rural
0406930,11,City
0406960,33,Town
0407020,11,City
0407080,11,City
0407130,33,Town
0407170,42,Rural
0407200,42,Rural
0407240,33,Town
0407300,32,Town
0407380,43,Rural
0407430,43,Rural
0407500,41,Rural
0407520,33,Town
0407530,31,Town
0407570,12,City
0407630,43,Rural
0407680,43,Rural
0407700,41,Rural
0407750,21,Suburban
0407770,42,Rural
0407820,33,Town
0407860,33,Town
0407890,31,Town
0407920,42,Rural
0408020,42,Rural
0408080,33,Town
0408130,42,Rural
0408170,11,City
0408230,32,Town
0408280,21,Suburban
0408310,12,City
0408340,12,City
0408410,33,Town
0408430,43,Rural
0408460,42,Rural
0408490,21,Suburban
0408520,21,Suburban
0408550,41,Rural
0408600,42,Rural
0408640,42,Rural
0408680,33,Town
0408800,11,City
0408820,11,City
0408850,31,Town
0408880,43,Rural
0408910,43,Rural
0409030,42,Rural
0409060,11,City
0409090,42,Rural
0409120,43,Rural
0409160,33,Town
0409190,41,Rural
0409250,41,Rural
0409310,32,Town
0409360,41,Rural
0409390,11,City
0409430,33,Town
0409460,33,Town
0409510,42,Rural
0409540,43,Rural
0409570,42,Rural
0409600,13,City
0409630,13,City
0409700,11,City
0409731,11,City
0409733,32,Town
0409734,11,City
0500001,41,Rural
0500002,42,Rural
0500005,41,Rural
0500006,33,Town
0500008,32,Town
0500009,32,Town
0500011,42,Rural
0500012,42,Rural
0500013,33,Town
0500014,42,Rural
0500015,32,Town
0500016,42,Rural
0500017,32,Town
0500018,32,Town
0500019,41,Rural
0500020,43,Rural
0500021,43,Rural
0500022,43,Rural
0500023,41,Rural
0500024,13,City
0500025,13,City
0500026,13,City
0500027,32,Town
0500028,42,Rural
0500029,33,Town
0500030,43,Rural
0500031,41,Rural
0500032,43,Rural
0500033,33,Town
0500034,42,Rural
0500035,12,City
0500036,12,City
0500037,42,Rural
0500039,21,Suburban
0500040,31,Town
0500041,43,Rural
0500042,33,Town
0500043,33,Town
0500044,33,Town
0500045,42,Rural
0500046,41,Rural
0500047,32,Town
0500048,42,Rural
0500049,33,Town
0500051,42,Rural
0500052,33,Town
0500053,13,City
0500054,31,Town
0500055,13,City
0500056,41,Rural
0500057,23,Suburban
0500058,41,Rural
0500059,21,Suburban
0500060,33,Town
0500061,43,Rural
0500062,33,Town
0500063,21,Suburban
0500065,42,Rural
0500066,41,Rural
0500067,42,Rural
0500068,42,Rural
0500070,42,Rural
0500071,43,Rural
0500072,43,Rural
0500073,42,Rural
0500074,12,City
0500075,32,Town
0500076,43,Rural
0500078,13,City
0500079,43,Rural
0500080,42,Rural
0500081,13,City
0500082,32,Town
0500389,13,City
0500390,42,Rural
0500394,12,City
0500397,12,City
0500398,12,City
0500402,21,Suburban
0500403,12,City
0500405,43,Rural
0500406,13,City
0500407,12,City
0500408,12,City
0500409,13,City
0500410,13,City
0500411,12,City
0500412,12,City
0500413,13,City
0500414,12,City
0500415,13,City
0500416,13,City
0500417,13,City
0500418,13,City
0500419,21,Suburban
0500420,12,City
0500421,12,City
0500422,13,City
0500423,13,City
0502250,22,Suburban
0502280,42,Rural
0502430,32,Town
0502550,42,Rural
0502580,32,Town
0502610,42,Rural
0502670,43,Rural
0502700,41,Rural
0502730,42,Rural
0502790,41,Rural
0502820,42,Rural
0502880,31,Town
0502960,21,Suburban
0503030,21,Suburban
0503060,13,City
0503090,42,Rural
0503150,32,Town
0503240,42,Rural
0503300,43,Rural
0503320,33,Town
0503420,43,Rural
0503450,32,Town
0503480,42,Rural
0503630,33,Town
0503640,23,Suburban
0503690,21,Suburban
0503710,42,Rural
0503750,21,Suburban
0503770,43,Rural
0503840,43,Rural
0503960,42,Rural
0504020,41,Rural
0504050,42,Rural
0504080,42,Rural
0504110,42,Rural
0504170,42,Rural
0504200,42,Rural
0504350,43,Rural
0504370,42,Rural
0504380,33,Town
0504410,43,Rural
0504560,43,Rural
0504590,13,City
0504680,42,Rural
0504740,42,Rural
0504800,33,Town
